fecha_hecho,cod_depto,departamento,cod_muni,municipio,cantidad
2025-04-20T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,248
2025-04-19T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,226
2025-04-18T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,156
2025-04-17T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,213
2025-04-16T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,354
2025-04-15T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,398
2025-04-14T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,356
2025-04-13T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,313
2025-04-12T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,491
2025-04-11T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,479
2025-04-10T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,422
2025-04-09T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,425
2025-04-08T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,348
2025-04-07T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,381
2025-04-06T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,290
2025-04-05T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,497
2025-04-04T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,458
2025-04-03T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,432
2025-04-02T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,453
2025-04-01T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,487
2025-03-31T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,307
2025-03-30T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,298
2025-03-29T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,451
2025-03-28T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,474
2025-03-27T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,416
2025-03-26T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,424
2025-03-25T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,362
2025-03-24T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,222
2025-03-23T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,278
2025-03-22T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,365
2025-03-21T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,409
2025-03-20T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,397
2025-03-19T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,344
2025-03-18T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,309
2025-03-17T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,248
2025-03-16T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,295
2025-03-15T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,461
2025-03-14T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,478
2025-03-13T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,348
2025-03-12T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,319
2025-03-11T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,309
2025-03-10T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,336
2025-03-09T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,294
2025-03-08T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,473
2025-03-07T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,464
2025-03-06T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,434
2025-03-05T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,424
2025-03-04T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,415
2025-03-03T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,351
2025-03-02T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,304
2025-03-01T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,501
2025-02-28T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,493
2025-02-27T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,510
2025-02-26T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,464
2025-02-25T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,429
2025-02-24T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,401
2025-02-23T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,275
2025-02-22T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,413
2025-02-21T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,478
2025-02-20T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,479
2025-02-19T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,413
2025-02-18T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,422
2025-02-17T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,378
2025-02-16T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,304
2025-02-15T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,486
2025-02-14T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,516
2025-02-13T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,414
2025-02-12T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,378
2025-02-11T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,352
2025-02-10T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,321
2025-02-09T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,242
2025-02-08T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,394
2025-02-07T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,429
2025-02-06T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,343
2025-02-05T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,374
2025-02-04T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,404
2025-02-03T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,369
2025-02-02T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,313
2025-02-01T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,343
2025-01-31T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,383
2025-01-30T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,318
2025-01-29T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,260
2025-01-28T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,293
2025-01-27T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,274
2025-01-26T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,227
2025-01-25T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,373
2025-01-24T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,347
2025-01-23T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,330
2025-01-22T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,353
2025-01-21T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,372
2025-01-20T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,345
2025-01-19T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,263
2025-01-18T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,394
2025-01-17T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,388
2025-01-16T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,384
2025-01-15T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,468
2025-01-14T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,333
2025-01-13T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,269
2025-01-12T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,263
2025-01-11T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,319
2025-01-10T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,404
2025-01-09T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,341
2025-01-08T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,359
2025-01-07T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,301
2025-01-06T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,193
2025-01-05T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,213
2025-01-04T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,255
2025-01-03T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,231
2025-01-02T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,193
2025-01-01T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,183
2024-12-31T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,82
2024-12-30T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,112
2024-12-29T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,102
2024-12-28T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,156
2024-12-27T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,160
2024-12-26T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,110
2024-12-25T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,70
2024-12-24T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,145
2024-12-23T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,252
2024-12-22T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,231
2024-12-21T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,311
2024-12-20T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,388
2024-12-19T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,359
2024-12-18T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,354
2024-12-17T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,372
2024-12-16T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,334
2024-12-15T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,353
2024-12-14T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,442
2024-12-13T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,426
2024-12-12T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,418
2024-12-11T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,386
2024-12-10T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,402
2024-12-09T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,308
2024-12-08T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,242
2024-12-07T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,435
2024-12-06T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,431
2024-12-05T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,449
2024-12-04T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,422
2024-12-03T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,388
2024-12-02T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,380
2024-12-01T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,411
2024-11-30T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,570
2024-11-29T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,439
2024-11-28T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,421
2024-11-27T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,405
2024-11-26T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,346
2024-11-25T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,338
2024-11-24T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,330
2024-11-23T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,463
2024-11-22T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,488
2024-11-21T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,408
2024-11-20T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,427
2024-11-19T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,372
2024-11-18T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,377
2024-11-17T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,343
2024-11-16T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,462
2024-11-15T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,519
2024-11-14T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,400
2024-11-13T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,421
2024-11-12T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,405
2024-11-11T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,304
2024-11-10T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,304
2024-11-09T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,478
2024-11-08T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,417
2024-11-07T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,433
2024-11-06T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,414
2024-11-05T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,386
2024-11-04T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,226
2024-11-03T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,296
2024-11-02T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,449
2024-11-01T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,486
2024-10-31T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,431
2024-10-30T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,489
2024-10-29T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,405
2024-10-28T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,333
2024-10-27T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,288
2024-10-26T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,474
2024-10-25T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,422
2024-10-24T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,391
2024-10-23T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,421
